Id,FIPS_City,Title,Description,Start_Date,End_Date,End_Date_Known,Post_Date,Level,FIPS_State,State,State_Abbr,FIPS_County,County,City,Latitude,Longitude,IsPositive,Agriculture,Business_And_Industry,Energy,Fire,Plants_And_Wildlife,Relief_Response_And_Restrictions,Society_And_Public_Health,Tourism_And_Recreation,Water_Supply_And_Quality,Total,Impact Source,x,y
58289,06-33056,"Drought, low flows on Russian River closed Veteran's Memorial Beach in Healdsburg, California for four years","Healdsburg's Veterans Memorial Beach on the Russian River has reopened after drought and the COVID pandemic led the Sonoma County Regional Parks to postpone opening the beach for swimming for the past four years.
KPIX-TV CBS 5 San Francisco (Calif.), June 29, 2023",6/30/2019,6/29/2023,reported,6/30/2023,City,6,California,CA,6097,Sonoma County,Healdsburg,38.6104658,-122.8691609,0,0,0,0,0,0,1,0,1,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58289,-13677732.425584791,4666026.74719776
57383,06-49670,"Water shortage emergency in Mountain View, California","The Mountain View City Council ended the stage 2 water emergency in effect since June 28, 2022.  
Mountain View Voice (Calif.), May 25, 2023

The Mountain View city council declared a water shortage emergency to curb water use and assigned certain irrigation days. 
The Mercury News (San Jose, Calif.), June 30, 2022",6/28/2022,5/23/2023,reported,5/25/2023,City,6,California,CA,6085,Santa Clara County,Mountain View,37.3860517,-122.0838511,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/57383,-13590312.138533825,4493054.897332654
58142,06-33056,"Drought contributed to losses to water, wastewater and electric funds in Healdsburg, California","Water and wastewater revenues in Healdsburg were sharply reduced this year, due to mandatory reductions in water use to conserve water. The financial shortfall led the city to freeze two vacant Utility and Public Works positions and defer infrastructure maintenance. As of March 31, the end of the third quarter, both funds were behind in revenue, down 10% to date, for a combined $1.09 million loss over projections through that period. To compensate for the shortfalls, spending from the water fund was cut by about $251,000, while spending from the wastewater fund was reduced by about $9,600 for fiscal year 2023-24. Maintenance will be delayed on water fountains, distribution pipes and pumps. 
Healdsburg operates its own electric utility, which also suffered a shortfall. The electric fund was down by 6% to $9.01 million through the third quarter. 
Santa Rosa Press Democrat (Calif.), May 22, 2023",7/1/2022,3/31/2023,reported,5/24/2023,City,6,California,CA,6097,Sonoma County,Healdsburg,38.6104658,-122.8691609,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58142,-13677732.425584791,4666026.74719776
58141,06-33056,"Water-shortage mandate ended in Healdsburg, California","Healdsburg residents were to reduce their water use by 20% until the Healdsburg City Council lifted the edict at the meeting on April 3, 2023. The 6% water-shortage surcharge was also lifted. Any remaining state water-usage restrictions will remain in effect until December, according to the California State Water Board.
The Santa Rosa Press Democrat (Calif.), April 10, 2023",5/17/2021,12/31/2023,reported,5/24/2023,City,6,California,CA,6097,Sonoma County,Healdsburg,38.6104658,-122.8691609,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58141,-13677732.425584791,4666026.74719776
58122,06-41992,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6001,Alameda County,Livermore,37.6818745,-121.7680088,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13555152.73452685,4534582.31352348
58122,06-13014,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6007,Butte County,Chico,39.7284945,-121.8374777,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13562885.97710082,4826565.925538874
58122,06-54386,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6007,Butte County,Oroville,39.5137752,-121.556359,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13531591.986564357,4795534.954415112
58122,06-70882,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6019,Fresno County,Selma,36.5707838,-119.6120765,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13315155.448706077,4379447.259536963
58122,06-85684,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6021,Glenn County,Willows,39.5243265,-122.1935931,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13602528.562092466,4797057.569770407
58122,06-03526,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6029,Kern County,Bakersfield,35.3732921,-119.0187125,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13249102.470371023,4214726.475458114
