Id,FIPS_County,Title,Description,Start_Date,End_Date,End_Date_Known,Post_Date,Level,FIPS_State,State,State_Abbr,County,IsPositive,Agriculture,Business_And_Industry,Energy,Fire,Plants_And_Wildlife,Relief_Response_And_Restrictions,Society_And_Public_Health,Tourism_And_Recreation,Water_Supply_And_Quality,Total,Impact Source
58289,6097,"Drought, low flows on Russian River closed Veteran's Memorial Beach in Healdsburg, California for four years","Healdsburg's Veterans Memorial Beach on the Russian River has reopened after drought and the COVID pandemic led the Sonoma County Regional Parks to postpone opening the beach for swimming for the past four years.
KPIX-TV CBS 5 San Francisco (Calif.), June 29, 2023",6/30/2019,6/29/2023,reported,6/30/2023,County,6,California,CA,Sonoma County,0,0,0,0,0,0,1,0,1,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58289
58156,6055,"State of Emergency at an end for Napa County, California","The Napa County Board of Supervisors voted on May 30 to end the “State of Local Emergency” that began on March 8, 2022. Napa County has received almost 32 inches of rain since October 2022, exceeding its average annual rainfall. County officials stress the need for continued water conservation. 
SFGate (San Francisco, Calif.), May 30, 2023",3/8/2022,5/30/2023,reported,5/30/2023,County,6,California,CA,Napa County,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58156
57383,6085,"Water shortage emergency in Mountain View, California","The Mountain View City Council ended the stage 2 water emergency in effect since June 28, 2022.  
Mountain View Voice (Calif.), May 25, 2023

The Mountain View city council declared a water shortage emergency to curb water use and assigned certain irrigation days. 
The Mercury News (San Jose, Calif.), June 30, 2022",6/28/2022,5/23/2023,reported,5/25/2023,County,6,California,CA,Santa Clara County,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/57383
58141,6097,"Water-shortage mandate ended in Healdsburg, California","Healdsburg residents were to reduce their water use by 20% until the Healdsburg City Council lifted the edict at the meeting on April 3, 2023. The 6% water-shortage surcharge was also lifted. Any remaining state water-usage restrictions will remain in effect until December, according to the California State Water Board.
The Santa Rosa Press Democrat (Calif.), April 10, 2023",5/17/2021,12/31/2023,reported,5/24/2023,County,6,California,CA,Sonoma County,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58141
58139,6097,"Drought contributed to high feed prices, dairy farms closing in California","Organic feed and hay prices doubled during the three-year drought in California. Local organic dairy farms organized to seek USDA financial relief. Extended drought was estimated to have cost dairy farmers from $300,000 to $500,000 in losses since 2021, according to the CEO of an organic family creamery in Petaluma. More than one dozen dairy farms have closed, and other dairies are struggling. The cost of feed for herds during drought cost 50% to 65% of revenues.
North Bay Business Journal (Santa Rosa, Calif.), May 22, 2023",1/1/2021,5/22/2023,reported,5/23/2023,County,6,California,CA,Sonoma County,0,1,1,0,0,1,1,0,0,0,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58139
58133,6073,"Loveland Reservoir in San Diego County, California drained for drinking water","Loveland Reservoir was drained in November 2022 amid drought to provide drinking water and other water needs to South Bay communities. The low water level killed the fish. Recreation has been on hold since early 2023 for lack of water. The reservoir’s ecosystem needs to be rebuilt after the fish died. 
FOX 5 San Diego (Calif.), May 17, 2023",11/15/2022,5/17/2023,reported,5/18/2023,County,6,California,CA,San Diego County,0,0,0,0,0,1,0,0,1,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58133
58122,6029,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,County,6,California,CA,Kern County,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122
58122,6037,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,County,6,California,CA,Los Angeles County,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122
58123,6041,Proposed water rate hike for Marin Municipal Water District in California could help recover financial reserves,"Marin Municipal Water District is considering a proposed rate hike which would be used to pay for new water supply projects over the next two years. The repair of aging facilities and recovering financial reserves lost during the drought. The median residential customer would see their bimonthly bill increase by 20%. 
Marin Independent Journal (Calif.), May 7, 2023",5/7/2021,5/6/2023,reported,5/13/2023,County,6,California,CA,Marin County,0,0,1,0,0,0,1,1,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58123
57857,6001,Full allocation for California's State Water Project,"The fifth snow survey of the season at Phillips Station revealed a snow depth of 59 inches and a snow water equivalent of 30 inches, which is 241 percent of average for May 1. Electronic readings from the 130 snow sensors across California indicate a statewide snow water equivalent of 49.2 inches, or 254% of average for the date. Overall, the statewide snowpack melted more slowly than usual during April as temperatures were below average early in the month, and there was more cloud cover. Temperatures increased in the latter part of April. 
California Department of Water Resources (Sacramento), May 1, 2023

The Department of Water Resources announced that State Water Project deliveries are expected to be 100% of requested water supplies for the first time since 2006. The March estimate was 75% of requested supplies. Water from the SWP is delivered to 29 public water agencies serving 27 million Californians and 750,000 acres of farmland. 
California Department of Water Resources (Sacramento), April 20, 2023

The State Water Project will deliver 75% of requested supplies as winter storms brought tremendous amounts of snow this winter.
Los Angeles Times, March 24, 2023

The California Department of Water Resources announced an expected water allocation of 35% from the State Water Project, up from 30% in January. 
The Associated Press (New York), Feb 22, 2023

The series of storms that brought heavy rain and snow to California have partially filled reservoirs, allowing the State Water Project to offer 30% of requested water supplies to 29 public water agencies that serve 27 million Californians. The initial allocation in December was just 5%.
California typically receives half its rain and snow by the end of January. Water managers will reassess conditions monthly during the winter and spring, and also consider snowpack data and runoff forecasts from February on.
California Department of Water Resources (Sacramento)
Jan 26, 2023

The Department of Water Resources announced an initial State Water Project allocation of 5 percent of requested supplies for 2023. The SWP provides water to 29 public water agencies that serve 27 million Californians. Water allocations are frequently low early in the wet season due to uncertainty in hydrologic forecasting. In addition, the expectation is for a fourth dry year and continued drought in California. Lake Oroville, the largest reservoir in the State Water Project system, is just 55% of average for this time of year. Oroville ended Water Year 2022 at about 400,000 acre-feet higher than the previous year. 
For the 2022 Water Year, the initial allocation was 0% on Dec. 1, 2021, with limited water designated only for any unmet human health and safety needs. Last year’s final allocation was 5 percent plus unmet health and safety needs. Four of the 29 State Water Contractors ultimately requested and received additional health and safety water supply.
California Department of Water Resources (Sacramento, Calif.), Dec 1, 2022",12/1/2022,12/31/2023,reported,5/10/2023,County,6,California,CA,Alameda County,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/57857
