Id,FIPS_State,Title,Description,Start_Date,End_Date,End_Date_Known,Post_Date,Level,State,State_Abbr,IsPositive,Agriculture,Business_And_Industry,Energy,Fire,Plants_And_Wildlife,Relief_Response_And_Restrictions,Society_And_Public_Health,Tourism_And_Recreation,Water_Supply_And_Quality,Total,FREQUENCY,Impact Source,x,y
58925,6,Drought in parts of the U.S. has affected growth of Christmas trees,"Drought has reduced the supply of locally grown Christmas trees in parts of the southern U.S. this season. Extra trees were being imported from northern regions to supplement regional trees, according to the executive director of the Real Christmas Tree Board. Drought in parts of the Pacific Northwest and Upper Midwest will also mean increased seedling plantings next year to compensate for lost trees.
Brownfield Ag News (Jefferson City, Mo.), Nov 24, 2023

The cost of live Christmas trees rose about 10% in 2022, largely due to inflation and drought, stated industry experts. Years of extreme weather, ranging from drought to excess precipitation, were expected to bring slightly higher Christmas tree prices in 2023, according to a report from Country Folks Grower, a business-to-business publication that serves fresh market and ornamental crops. 
Danbury, CT Patch, Nov 28, 2023",1/1/2023,12/31/2023,reported,11/28/2023,State,California,CA,0,1,0,0,0,1,0,0,1,0,1,51,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58925,,
58644,6,US Hard Red Winter Wheat exports at record low levels,"U.S. Hard Red Winter Wheat exports were forecast to be down 10 million bushels this month to 155 million bushels, the lowest since records began in 1973-1974. Corn and soybeans have gained in U.S. acreage, while HRW have endured a downturn in acres in many areas, leaving exports in this class less competitive on the global market. 
Drought has also affected the crop in consecutive years, contributing to lower crop prospects and this class being less competitive with other suppliers like Russia and the European Union. 
DRGNews (Pierre, S.D.), Sept 18, 2023",10/1/2022,9/30/2023,reported,9/18/2023,State,California,CA,0,1,1,0,0,0,0,0,0,0,1,51,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58644,,
57304,6,"Drought of chili peppers, Sriracha hot sauce due to drought in California, New Mexico and Mexico","The Sriracha shortage began just over a year ago when Huy Fong Foods admitted that harsh weather had affected the chili pepper crop, which led to a pause in sauce-making. 
With the sauce in short supply, some opportunists have bumped up the price considerably on Amazon and eBay. Some customers of a Filipino-fusion restaurant in San Francisco have noticed that customers have begun to steal bottles of Sriracha. People have also called, hoping to purchase a bottle of Sriracha from the restaurant. 

Food & Wine (New York, N.Y.), June 26, 2023

A shortage of the chili peppers used to produce Sriracha hot sauce were in short supply, so the company that produces the famous sauce will suspend sales over the summer. Customers learned in an April 19 email that all orders submitted after that date would be fulfilled after Labor Day.
Peppers used in the sauce are grown in California, New Mexico and Mexico, and weather conditions were deepening the chili shortage.
Associated Press News (New York), June 9, 2022",4/19/2022,9/5/2023,reported,6/27/2023,State,California,CA,0,1,1,0,0,0,0,1,0,0,1,51,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/57304,,
58118,6,Reduced hydropower production led to higher natural gas prices in the West,"High utility bills in Colorado this past winter can be attributed to drought in California, where hydropower production was half of normal in 2022. To compensate for less electricity from hydropower, California utilities bought more natural gas, which increased prices across the West. In Colorado, the cost of delivered gas utilities rose nearly 100%. 
The drought-related gas prices affected heating bills and the price of electricity. The U.S. Energy Information Administration estimated that the price of electricity across the West may have risen by about 5%.  
The Colorado Sun (Denver), May 9, 2023",12/1/2022,3/31/2023,reported,5/9/2023,State,California,CA,0,0,0,1,0,0,1,0,0,1,1,11,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58118,,
58095,6,Drought is extending the contraction phase for the U.S. beef cow inventory,"Drought has kept the contraction phase for the U.S. beef cow inventory going since 2020, with the beef cow inventory reaching a 60-year low at the start of 2023 with 28.9 million head, down 3.6% from the previous year. Cattle may continue to be culled in the next few months if drought persists.
This spring there is an increased demand for beef for consumers getting ready for the summer grilling season. The tight supply may be outweighing the packers’ needs for inventory.
Drovers Cattle Network (Lenexa, Kan.), April 25, 2023",1/1/2020,4/25/2023,reported,5/2/2023,State,California,CA,0,1,0,0,0,1,0,0,0,0,1,51,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58095,,
57927,6,Smallest U.S. beef cow herd since 1962,"The U.S. beef cow herd dropped to its lowest level since 1962, according to USDA data, after intense drought drove up costs for livestock feed. Many cattle were sent to slaughter in 2022 as grazing was lacking in the West and the Great Plains. Declining supplies of cattle were anticipated to keep meat prices high for consumers in coming years. 
On Jan. 1, there were 28.9 million beef cows, 3.6% fewer than the previous year, per the USDA. Overall, the total number of cattle and calves in the U.S. fell 3% from a year ago to 89.3 million, the lowest since 2015.
Agriculture.com (Des Moines, Iowa), Jan 31, 2023",1/1/2022,12/31/2022,reported,2/15/2023,State,California,CA,0,1,0,0,0,1,0,1,0,0,1,51,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/57927,,
56720,6,Statewide drought emergency in California,"Gov. Gavin Newsom declared a statewide drought emergency in California and urged more water conservation.  
“As the western U.S. faces a potential third year of drought, it’s critical that Californians across the state redouble our efforts to save water in every way possible,” the governor said.
Fifty of the Golden State’s 58 counties have been in a state of drought emergency since July, and Gov. Newsom added the eight remaining counties and reiterated his call for water conservation of 15%.  The State Water Resources Control Board is also free to adopt emergency regulations to forbid wasting water.
State water officials announced that Californians had conserved just 5% of their water use in August, which was an improvement over July when water conservation amounted to 1.8%. Some parts of the state were conserving better than others.
Local water suppliers must implement their water shortage contingency plans at “a level appropriate to local conditions that takes into account the possibility of a third consecutive dry year.”
During the previous drought, Gov. Jerry Brown mandated water conservation of 25% in urban water use.
Los Angeles Times (Calif.), Oct 19, 2021",10/19/2021,2/6/2023,reported,2/8/2023,State,California,CA,0,0,0,0,0,0,1,0,0,1,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/56720,,
57938,6,Drought contributed to the deaths of 36.3 million trees in California in 2022,"Tree mortality in California rose to about 36.3 million trees in 2022, due to drought, insects and disease, per the U.S. Forest Service. In 2021, 9.5 million trees died. From mid-July to early October, researchers surveyed almost 40 million acres of federal, state and private land. They found dead trees spread across 2.6 million acres.
The biggest increase in tree mortality was seen in Douglas fir trees. Three million dead Douglas firs were observed, an increase of 1,650%, counted across 190,000 acres, mostly in the central Sierra Nevada Range. 
There were 12 million dead white fir trees, an increase of 691%, across 1.5 million acres, and 15 million dead red firs, an increase of 242%, across 890,000 acres. The dead trees were clustered mainly around the Northern California city of Redding, also in the Shasta-Trinity National Forest and surrounding areas.
Other years with high tree mortality rates were 2016 with nearly 62 million dead trees, 2017 with 27 million trees and 2019 with 15 million dead trees. 
The main cause of the tree mortality is drought, as about 80% of the state endured severe drought since the start of 2022, per the U.S. Drought Monitor. 
Los Angeles Times (Calif.), Feb. 7, 2023",1/1/2022,12/31/2022,reported,2/8/2023,State,California,CA,0,0,0,0,0,1,0,0,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/57938,,
57322,6,Urgent planning to reduce water use in the Colorado River Basin,"State officials discussed the future of the Colorado River Basin at the annual Colorado River Water Users Association conference and acknowledge that the river was in a state of emergency that will soon be a crisis for the 40 million people who depend on it, whether for agriculture or municipalities. The problem is so great that a solution requires all parties in the basin to conserve. 
Colorado River water authorities have a Feb. 1 deadline for submitting their agreement to the Interior Department on a way to trim water use to avoid having water cuts imposed on them. 
E&E News (Arlington, Va.), Dec 19, 2022

Lakes Mead and Powell on the Colorado River have fallen so low amid years of drought that major water cuts will be needed in 2023 to lower the danger of supplies becoming too low for power production and continued water deliveries. The needed cuts may amount to 2 million to 4 million acre-feet in 2023, a top water official said during a Senate hearing.
The Bureau of Reclamation is conferring with the seven Colorado River Basin states that rely on the river to come up with a plan for reducing water use in the next 60 days. 
Los Angeles Times (Calif.), June 14, 2022",6/14/2022,1/31/2023,reported,1/30/2023,State,California,CA,0,0,0,0,0,0,1,0,0,1,1,7,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/57322,,
57925,6,Valley fever cases rising in California,"Infections are highest in the San Joaquin Valley, but are rising fastest along the Central Coast. In Monterey County, seven cases of Valley fever per 100,000 people were recorded in 2008. By 2021, 35 cases were reported, a five-fold increase over 13 years. 
Inland counties like Kern had 382 cases per 100,000 people in 2019. Statewide, cases of Valley fever in California tripled from 2014 to 2018.
Valley fever occurs when a person inhales spores of the soil-borne Coccidioides fungus, which can cause symptoms such as fever, cough, fatigue, etc. in about 40% of those infected. The illness disproportionately impacts people of color. 
The fungus’ growth surges when drought ends, preparing it to release spores when hot, dry conditions resume. 
The Mercury News (San Jose, Calif.), Jan 30, 2023",1/1/2014,1/30/2023,reported,1/30/2023,State,California,CA,0,0,0,0,0,1,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/57925,,
